İL ADI 	İLÇE ADI 	YURT ADI 	BLOK 	İŞLETME TÜRÜ TOPLAM
KAPASİTE
İŞLETMENİN
HİZMET VERECEĞİ
KAPASİTE
KİLİS 	MERKEZ 	MİHRİŞAH VALİDE SULTAN YURDU 	MERKEZİ 	LOKANTA-KANTİN 	500 	500
KİLİS 	MERKEZ 	NAKŞİDİL VALİDE SULTAN YURDU 	MERKEZİ 	LOKANTA-KANTİN 	375 	375
KOCAELİ 	GEBZE 	GEBZE YURDU 	MERKEZİ 	LOKANTA-KANTİN 	894 	894
KOCAELİ 	İZMİT 	KOCAELİ YURDU 	MERKEZİ 	LOKANTA-KANTİN 	1474 	1474
KOCAELİ 	İZMİT 	ŞERİFE GELİN YURDU 	MERKEZİ 	LOKANTA-KANTİN 	1148 	1148

-- 11 of 19 --

KOCAELİ 	İZMİT 	VİLAYETLER HİZMET BİRLİĞİ YURDU 	MERKEZİ 	LOKANTA-KANTİN 	212 	212
KOCAELİ 	KANDIRA 	AHMET HİLMİ EFENDİ VE İL ÖZEL İDARE KANDIRA YURDU BİRLİKTE 	MERKEZİ 	LOKANTA-KANTİN 	849 	849
KONYA 	SELÇUKLU 	ALİ ULVİ KURUCU YURDU 	MERKEZİ 	LOKANTA-KANTİN 	1109 	1109
KONYA 	SELÇUKLU 	BEYHEKİM YURDU 	MERKEZİ 	LOKANTA-KANTİN 	1115 	1115
KONYA 	CİHANBEYLİ 	CİHANBEYLİ YURDU 	MERKEZİ 	LOKANTA-KANTİN 	298 	298
KONYA 	ÇUMRA 	ÇUMRA YURDU 	MERKEZİ 	LOKANTA-KANTİN 	264 	264
KONYA 	SELÇUKLU 	FAHRÜNNİSA HATUN YURDU 	A-B 	LOKANTA-KANTİN 	1868 	1070
KONYA 	SELÇUKLU 	FAHRÜNNİSA HATUN YURDU 	C-D 	LOKANTA-KANTİN 	1868 	798
KONYA 	HADİM 	HADİM YURDU 	MERKEZİ 	LOKANTA-KANTİN 	300 	300
KONYA 	KULU 	MEHMET VEHBİ ÇELİK YURDU 	MERKEZİ 	LOKANTA-KANTİN 	342 	342
